Amp training started. 2015-11-18T15:59:25

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 8 cores.

Training on 90 images.
Hashing images...
 90 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: Pd
Symmetry functions for each element:
 Pd: 8
Hidden-layer structure:
 Pd: [2, 3]
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 No saved neighborlist file found.
 Calculating 90 of 90 neighborlists.
 ...neighborlists calculated and saved to ./networks/3-3/neighborlists.db. 0.0 min.
Calculating atomic fingerprints...
No saved fingerprint file found.
  Processor 0 calculations stored in file /tmp/fp-dfqGJz.json.
  Processor 1 calculations stored in file /tmp/fp-T_k8e9.json.
  Processor 2 calculations stored in file /tmp/fp-1n5_a9.json.
  Processor 3 calculations stored in file /tmp/fp-Uk5dPW.json.
  Processor 4 calculations stored in file /tmp/fp-aBR3Jn.json.
  Processor 5 calculations stored in file /tmp/fp-FpN3SN.json.
  Processor 6 calculations stored in file /tmp/fp-Bx1P_L.json.
  Processor 7 calculations stored in file /tmp/fp-W_1xLp.json.
 Calculated 90 new images. 0.0 min.
 Reading calculated child-fingerprints...
 ...child-fingerprints read. 0.0 min.
 Saving fingerprints...
 ...fingerprints saved to ./networks/3-3/fingerprints.db. 0.0 min.
Calculating derivatives of atomic fingerprints with respect to coordinates...
Either no saved fingerprint-derivatives file found or it cannot be read.
  Processor 0 calculations stored in file /tmp/fp-sGzds4.json.
  Processor 1 calculations stored in file /tmp/fp-W7bqqJ.json.
  Processor 2 calculations stored in file /tmp/fp-sqiIbM.json.
  Processor 3 calculations stored in file /tmp/fp-o9bVzf.json.
  Processor 4 calculations stored in file /tmp/fp-Wt11sg.json.
  Processor 5 calculations stored in file /tmp/fp-MVJ3dV.json.
  Processor 6 calculations stored in file /tmp/fp-jcuU6b.json.
  Processor 7 calculations stored in file /tmp/fp-xdVLBj.json.
 Calculated 90 new images. 0.0 min.
 Reading child-fingerprint-derivatives...
 ...child-fingerprint-derivatives are read. 0.0 min.
 ...fingerprint derivatives calculated and saved to ./networks/3-3/fingerprint-derivatives.db. 0.0 min.
 ...all fingerprint operations complete. 0.0 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file ./networks/3-3/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-11-18T15:59:26  1.702e+02  1.375e+00  0.000e+00
Force convergence!
    1  2015-11-18T15:59:26  1.183e+05  3.626e+01  0.000e+00
    2  2015-11-18T15:59:26  1.399e+03  3.943e+00  0.000e+00
    3  2015-11-18T15:59:26  3.225e+02  1.893e+00  0.000e+00
    4  2015-11-18T15:59:26  1.520e+02  1.299e+00  0.000e+00
    5  2015-11-18T15:59:27  1.223e+02  1.166e+00  0.000e+00
    6  2015-11-18T15:59:27  1.008e+02  1.058e+00  0.000e+00
    7  2015-11-18T15:59:27  6.409e+01  8.439e-01  0.000e+00
    8  2015-11-18T15:59:27  4.670e+01  7.204e-01  0.000e+00
    9  2015-11-18T15:59:27  2.934e+01  5.710e-01  0.000e+00
   10  2015-11-18T15:59:27  5.934e+01  8.120e-01  0.000e+00
   11  2015-11-18T15:59:27  2.386e+01  5.149e-01  0.000e+00
   12  2015-11-18T15:59:27  1.536e+01  4.132e-01  0.000e+00
   13  2015-11-18T15:59:27  2.611e+02  1.703e+00  0.000e+00
   14  2015-11-18T15:59:27  1.485e+01  4.062e-01  0.000e+00
   15  2015-11-18T15:59:27  1.386e+01  3.925e-01  0.000e+00
   16  2015-11-18T15:59:27  1.220e+01  3.682e-01  0.000e+00
   17  2015-11-18T15:59:27  1.136e+01  3.553e-01  0.000e+00
   18  2015-11-18T15:59:27  1.043e+01  3.405e-01  0.000e+00
   19  2015-11-18T15:59:27  9.416e+00  3.235e-01  0.000e+00
   20  2015-11-18T15:59:27  1.325e+01  3.837e-01  0.000e+00
   21  2015-11-18T15:59:27  9.082e+00  3.177e-01  0.000e+00
   22  2015-11-18T15:59:27  8.474e+00  3.069e-01  0.000e+00
   23  2015-11-18T15:59:27  8.343e+00  3.045e-01  0.000e+00
   24  2015-11-18T15:59:27  8.091e+00  2.998e-01  0.000e+00
   25  2015-11-18T15:59:27  7.637e+00  2.913e-01  0.000e+00
   26  2015-11-18T15:59:27  7.467e+00  2.880e-01  0.000e+00
   27  2015-11-18T15:59:27  7.331e+00  2.854e-01  0.000e+00
   28  2015-11-18T15:59:27  6.785e+00  2.746e-01  0.000e+00
   29  2015-11-18T15:59:27  5.863e+00  2.552e-01  0.000e+00
   30  2015-11-18T15:59:27  4.000e+00  2.108e-01  0.000e+00
   31  2015-11-18T15:59:27  1.562e+01  4.167e-01  0.000e+00
   32  2015-11-18T15:59:27  3.330e+00  1.923e-01  0.000e+00
   33  2015-11-18T15:59:27  2.629e+00  1.709e-01  0.000e+00
   34  2015-11-18T15:59:27  2.050e+00  1.509e-01  0.000e+00
   35  2015-11-18T15:59:27  1.771e+00  1.403e-01  0.000e+00
   36  2015-11-18T15:59:27  1.305e+00  1.204e-01  0.000e+00
   37  2015-11-18T15:59:27  8.857e-01  9.920e-02  0.000e+00
   38  2015-11-18T15:59:27  5.388e-01  7.738e-02  0.000e+00
   39  2015-11-18T15:59:27  4.398e-01  6.990e-02  0.000e+00
   40  2015-11-18T15:59:27  3.104e-01  5.873e-02  0.000e+00
   41  2015-11-18T15:59:28  1.879e-01  4.569e-02  0.000e+00
   42  2015-11-18T15:59:28  1.615e-01  4.236e-02  0.000e+00
   43  2015-11-18T15:59:28  1.151e-01  3.577e-02  0.000e+00
   44  2015-11-18T15:59:28  5.152e-02  2.393e-02  0.000e+00
   45  2015-11-18T15:59:28  5.298e-02  2.426e-02  0.000e+00
   46  2015-11-18T15:59:28  3.921e-02  2.087e-02  0.000e+00
   47  2015-11-18T15:59:28  3.344e-02  1.928e-02  0.000e+00
   48  2015-11-18T15:59:28  2.961e-02  1.814e-02  0.000e+00
   49  2015-11-18T15:59:28  2.344e-02  1.614e-02  0.000e+00
   50  2015-11-18T15:59:28  1.533e-02  1.305e-02  0.000e+00
   51  2015-11-18T15:59:28  6.352e-03  8.401e-03  0.000e+00
   52  2015-11-18T15:59:28  3.202e-03  5.965e-03  0.000e+00
   53  2015-11-18T15:59:28  2.388e-03  5.151e-03  0.000e+00
   54  2015-11-18T15:59:28  2.127e-03  4.862e-03  0.000e+00
   55  2015-11-18T15:59:28  1.786e-03  4.454e-03  0.000e+00
   56  2015-11-18T15:59:28  1.242e-03  3.715e-03  0.000e+00
   57  2015-11-18T15:59:28  7.638e-04  2.913e-03  0.000e+00
   58  2015-11-18T15:59:28  6.590e-04  2.706e-03  0.000e+00
   59  2015-11-18T15:59:28  6.221e-04  2.629e-03  0.000e+00
   60  2015-11-18T15:59:28  6.164e-04  2.617e-03  0.000e+00
   61  2015-11-18T15:59:28  6.141e-04  2.612e-03  0.000e+00
   62  2015-11-18T15:59:28  6.127e-04  2.609e-03  0.000e+00
   63  2015-11-18T15:59:28  6.102e-04  2.604e-03  0.000e+00
   64  2015-11-18T15:59:28  6.058e-04  2.594e-03  0.000e+00
   65  2015-11-18T15:59:28  5.978e-04  2.577e-03  0.000e+00
   66  2015-11-18T15:59:28  5.837e-04  2.547e-03  0.000e+00
   67  2015-11-18T15:59:28  5.618e-04  2.498e-03  0.000e+00
   68  2015-11-18T15:59:28  5.424e-04  2.455e-03  0.000e+00
   69  2015-11-18T15:59:28  5.165e-04  2.396e-03  0.000e+00
   70  2015-11-18T15:59:28  5.015e-04  2.361e-03  0.000e+00
   71  2015-11-18T15:59:28  4.978e-04  2.352e-03  0.000e+00
   72  2015-11-18T15:59:28  4.945e-04  2.344e-03  0.000e+00
   73  2015-11-18T15:59:28  4.901e-04  2.334e-03  0.000e+00
   74  2015-11-18T15:59:28  4.852e-04  2.322e-03  0.000e+00
   75  2015-11-18T15:59:28  4.782e-04  2.305e-03  0.000e+00
   76  2015-11-18T15:59:28  4.768e-04  2.302e-03  0.000e+00
   77  2015-11-18T15:59:28  4.747e-04  2.297e-03  0.000e+00
   78  2015-11-18T15:59:29  4.688e-04  2.282e-03  0.000e+00
   79  2015-11-18T15:59:29  4.588e-04  2.258e-03  0.000e+00
   80  2015-11-18T15:59:29  4.422e-04  2.217e-03  0.000e+00
   81  2015-11-18T15:59:29  4.164e-04  2.151e-03  0.000e+00
   82  2015-11-18T15:59:29  6.879e-04  2.765e-03  0.000e+00
   83  2015-11-18T15:59:29  4.098e-04  2.134e-03  0.000e+00
   84  2015-11-18T15:59:29  3.983e-04  2.104e-03  0.000e+00
   85  2015-11-18T15:59:29  3.785e-04  2.051e-03  0.000e+00
   86  2015-11-18T15:59:29  3.469e-04  1.963e-03  0.000e+00
   87  2015-11-18T15:59:29  3.110e-04  1.859e-03  0.000e+00
   88  2015-11-18T15:59:29  3.351e-04  1.930e-03  0.000e+00
   89  2015-11-18T15:59:29  2.989e-04  1.823e-03  0.000e+00
   90  2015-11-18T15:59:29  2.811e-04  1.767e-03  0.000e+00
   91  2015-11-18T15:59:29  2.769e-04  1.754e-03  0.000e+00
   92  2015-11-18T15:59:29  2.713e-04  1.736e-03  0.000e+00
   93  2015-11-18T15:59:29  2.676e-04  1.724e-03  0.000e+00
   94  2015-11-18T15:59:29  2.666e-04  1.721e-03  0.000e+00
   95  2015-11-18T15:59:29  2.662e-04  1.720e-03  0.000e+00
   96  2015-11-18T15:59:29  2.661e-04  1.719e-03  0.000e+00
   97  2015-11-18T15:59:29  2.660e-04  1.719e-03  0.000e+00
