Amp training started. 2015-11-18T15:59:07

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 8 cores.

Training on 90 images.
Hashing images...
 90 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: Pd
Symmetry functions for each element:
 Pd: 8
Hidden-layer structure:
 Pd: [2, 2]
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 No saved neighborlist file found.
 Calculating 90 of 90 neighborlists.
 ...neighborlists calculated and saved to ./networks/2-2/neighborlists.db. 0.0 min.
Calculating atomic fingerprints...
No saved fingerprint file found.
  Processor 0 calculations stored in file /tmp/fp-o2lrT7.json.
  Processor 1 calculations stored in file /tmp/fp-3STmoI.json.
  Processor 2 calculations stored in file /tmp/fp-eUmAe3.json.
  Processor 3 calculations stored in file /tmp/fp-euLHML.json.
  Processor 4 calculations stored in file /tmp/fp-1HJDUD.json.
  Processor 5 calculations stored in file /tmp/fp-qWHKWt.json.
  Processor 6 calculations stored in file /tmp/fp-PEDdJO.json.
  Processor 7 calculations stored in file /tmp/fp-BIOKHb.json.
 Calculated 90 new images. 0.0 min.
 Reading calculated child-fingerprints...
 ...child-fingerprints read. 0.0 min.
 Saving fingerprints...
 ...fingerprints saved to ./networks/2-2/fingerprints.db. 0.0 min.
Calculating derivatives of atomic fingerprints with respect to coordinates...
Either no saved fingerprint-derivatives file found or it cannot be read.
  Processor 0 calculations stored in file /tmp/fp-BjudVr.json.
  Processor 1 calculations stored in file /tmp/fp-phXZKq.json.
  Processor 2 calculations stored in file /tmp/fp-E8B2rk.json.
  Processor 3 calculations stored in file /tmp/fp-AMLubd.json.
  Processor 4 calculations stored in file /tmp/fp-kqkgUT.json.
  Processor 5 calculations stored in file /tmp/fp-olFgEv.json.
  Processor 6 calculations stored in file /tmp/fp-JecTHD.json.
  Processor 7 calculations stored in file /tmp/fp-uOITA2.json.
 Calculated 90 new images. 0.0 min.
 Reading child-fingerprint-derivatives...
 ...child-fingerprint-derivatives are read. 0.0 min.
 ...fingerprint derivatives calculated and saved to ./networks/2-2/fingerprint-derivatives.db. 0.0 min.
 ...all fingerprint operations complete. 0.0 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file ./networks/2-2/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-11-18T15:59:08  1.564e+02  1.318e+00  0.000e+00
Force convergence!
    1  2015-11-18T15:59:09  6.257e+05  8.338e+01  0.000e+00
    2  2015-11-18T15:59:09  1.314e+03  3.821e+00  0.000e+00
    3  2015-11-18T15:59:09  2.409e+02  1.636e+00  0.000e+00
    4  2015-11-18T15:59:09  1.374e+02  1.235e+00  0.000e+00
    5  2015-11-18T15:59:09  1.086e+02  1.099e+00  0.000e+00
    6  2015-11-18T15:59:09  6.917e+01  8.767e-01  0.000e+00
    7  2015-11-18T15:59:09  6.913e+01  8.764e-01  0.000e+00
    8  2015-11-18T15:59:09  6.905e+01  8.759e-01  0.000e+00
    9  2015-11-18T15:59:09  6.872e+01  8.738e-01  0.000e+00
   10  2015-11-18T15:59:09  6.747e+01  8.658e-01  0.000e+00
   11  2015-11-18T15:59:09  6.436e+01  8.457e-01  0.000e+00
   12  2015-11-18T15:59:09  5.865e+01  8.073e-01  0.000e+00
   13  2015-11-18T15:59:09  4.889e+01  7.370e-01  0.000e+00
   14  2015-11-18T15:59:09  4.158e+01  6.797e-01  0.000e+00
   15  2015-11-18T15:59:09  1.499e+02  1.290e+00  0.000e+00
   16  2015-11-18T15:59:09  4.132e+01  6.775e-01  0.000e+00
   17  2015-11-18T15:59:09  4.079e+01  6.732e-01  0.000e+00
   18  2015-11-18T15:59:09  3.868e+01  6.556e-01  0.000e+00
   19  2015-11-18T15:59:09  2.342e+01  5.101e-01  0.000e+00
   20  2015-11-18T15:59:09  4.240e+02  2.171e+00  0.000e+00
   21  2015-11-18T15:59:09  2.302e+01  5.057e-01  0.000e+00
   22  2015-11-18T15:59:09  2.232e+01  4.980e-01  0.000e+00
   23  2015-11-18T15:59:09  2.098e+01  4.828e-01  0.000e+00
   24  2015-11-18T15:59:09  1.692e+01  4.336e-01  0.000e+00
   25  2015-11-18T15:59:09  1.218e+01  3.679e-01  0.000e+00
   26  2015-11-18T15:59:09  3.511e+01  6.246e-01  0.000e+00
   27  2015-11-18T15:59:09  1.125e+01  3.536e-01  0.000e+00
   28  2015-11-18T15:59:09  9.637e+00  3.272e-01  0.000e+00
   29  2015-11-18T15:59:09  6.974e+00  2.784e-01  0.000e+00
   30  2015-11-18T15:59:09  3.870e+00  2.074e-01  0.000e+00
   31  2015-11-18T15:59:09  6.036e+00  2.590e-01  0.000e+00
   32  2015-11-18T15:59:09  2.772e+00  1.755e-01  0.000e+00
   33  2015-11-18T15:59:09  1.426e+00  1.259e-01  0.000e+00
   34  2015-11-18T15:59:09  3.326e+00  1.922e-01  0.000e+00
   35  2015-11-18T15:59:09  1.035e+00  1.072e-01  0.000e+00
   36  2015-11-18T15:59:09  9.000e-01  1.000e-01  0.000e+00
   37  2015-11-18T15:59:10  7.269e-01  8.987e-02  0.000e+00
   38  2015-11-18T15:59:10  5.601e-01  7.888e-02  0.000e+00
   39  2015-11-18T15:59:10  4.166e-01  6.804e-02  0.000e+00
   40  2015-11-18T15:59:10  3.046e-01  5.817e-02  0.000e+00
   41  2015-11-18T15:59:10  2.558e-01  5.331e-02  0.000e+00
   42  2015-11-18T15:59:10  2.259e-01  5.011e-02  0.000e+00
   43  2015-11-18T15:59:10  2.037e-01  4.757e-02  0.000e+00
   44  2015-11-18T15:59:10  1.784e-01  4.452e-02  0.000e+00
   45  2015-11-18T15:59:10  1.678e-01  4.318e-02  0.000e+00
   46  2015-11-18T15:59:10  1.588e-01  4.200e-02  0.000e+00
   47  2015-11-18T15:59:10  1.539e-01  4.135e-02  0.000e+00
   48  2015-11-18T15:59:10  1.489e-01  4.068e-02  0.000e+00
   49  2015-11-18T15:59:10  1.410e-01  3.959e-02  0.000e+00
   50  2015-11-18T15:59:10  1.288e-01  3.784e-02  0.000e+00
   51  2015-11-18T15:59:10  1.128e-01  3.541e-02  0.000e+00
   52  2015-11-18T15:59:10  9.573e-02  3.261e-02  0.000e+00
   53  2015-11-18T15:59:10  1.013e-01  3.355e-02  0.000e+00
   54  2015-11-18T15:59:10  8.836e-02  3.133e-02  0.000e+00
   55  2015-11-18T15:59:10  7.823e-02  2.948e-02  0.000e+00
   56  2015-11-18T15:59:10  7.351e-02  2.858e-02  0.000e+00
   57  2015-11-18T15:59:10  6.749e-02  2.738e-02  0.000e+00
   58  2015-11-18T15:59:10  6.569e-02  2.702e-02  0.000e+00
   59  2015-11-18T15:59:10  6.369e-02  2.660e-02  0.000e+00
   60  2015-11-18T15:59:10  6.127e-02  2.609e-02  0.000e+00
   61  2015-11-18T15:59:10  5.712e-02  2.519e-02  0.000e+00
   62  2015-11-18T15:59:10  5.154e-02  2.393e-02  0.000e+00
   63  2015-11-18T15:59:10  4.753e-02  2.298e-02  0.000e+00
   64  2015-11-18T15:59:10  4.416e-02  2.215e-02  0.000e+00
   65  2015-11-18T15:59:10  4.178e-02  2.155e-02  0.000e+00
   66  2015-11-18T15:59:10  4.146e-02  2.146e-02  0.000e+00
   67  2015-11-18T15:59:10  4.037e-02  2.118e-02  0.000e+00
   68  2015-11-18T15:59:10  3.953e-02  2.096e-02  0.000e+00
   69  2015-11-18T15:59:10  3.837e-02  2.065e-02  0.000e+00
   70  2015-11-18T15:59:10  3.658e-02  2.016e-02  0.000e+00
   71  2015-11-18T15:59:10  3.422e-02  1.950e-02  0.000e+00
   72  2015-11-18T15:59:10  3.229e-02  1.894e-02  0.000e+00
   73  2015-11-18T15:59:10  4.371e-02  2.204e-02  0.000e+00
   74  2015-11-18T15:59:11  3.175e-02  1.878e-02  0.000e+00
   75  2015-11-18T15:59:11  3.092e-02  1.854e-02  0.000e+00
   76  2015-11-18T15:59:11  2.995e-02  1.824e-02  0.000e+00
   77  2015-11-18T15:59:11  2.943e-02  1.808e-02  0.000e+00
   78  2015-11-18T15:59:11  2.882e-02  1.790e-02  0.000e+00
   79  2015-11-18T15:59:11  2.923e-02  1.802e-02  0.000e+00
   80  2015-11-18T15:59:11  2.849e-02  1.779e-02  0.000e+00
   81  2015-11-18T15:59:11  2.802e-02  1.765e-02  0.000e+00
   82  2015-11-18T15:59:11  2.734e-02  1.743e-02  0.000e+00
   83  2015-11-18T15:59:11  2.627e-02  1.709e-02  0.000e+00
   84  2015-11-18T15:59:11  2.834e-02  1.775e-02  0.000e+00
   85  2015-11-18T15:59:11  2.578e-02  1.692e-02  0.000e+00
   86  2015-11-18T15:59:11  2.494e-02  1.665e-02  0.000e+00
   87  2015-11-18T15:59:11  2.362e-02  1.620e-02  0.000e+00
   88  2015-11-18T15:59:11  2.183e-02  1.557e-02  0.000e+00
