Amp: Atomistic Machine-learning Package
Developed by Andrew Peterson, Alireza Khorshidi, and others,
Brown University.
 PI Website: http://brown.edu/go/catalyst
 Official repository: http://bitbucket.org/andrewpeterson/amp
 Official documentation: http://amp.readthedocs.org/
======================================================================
User: jboes
Hostname: gilgamesh.cheme.cmu.edu
Date: 2016-06-27T16:00:34
Architecture: x86_64
PID: 5620
Version: 0.4
Python: v2.7.6: /opt/kitchingroup/CANOPY/Canopy_64bit/User/bin/python
Amp: /home-research/jboes/python/amp
ASE v3.11.0: /home-research/jboes/python/ase/ase
NumPy v1.8.1: /opt/kitchingroup/CANOPY/Canopy_64bit/User/lib/python2.7/site-packages/numpy
SciPy v0.14.0: /opt/kitchingroup/CANOPY/Canopy_64bit/User/lib/python2.7/site-packages/scipy
======================================================================
Amp training started. 2016-06-27T16:00:34

Local environment descriptor: Gaussian
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 49 images.
Hashing images...
 49 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: Pd
Symmetry functions for each element:
 Pd: 8
Hidden-layer structure:
 Pd: [2, 3]
Initial weights already present.
Initial scalings already present.
Calculating atomic fingerprints...
 Saved fingerprints file networks/fingerprints.db loaded with 49 entries. 0.0 min.
 Calculating 0 of 49 fingerprints (49 exist in file).
 ...all fingerprint operations complete. 0.0 min.
Updated fingerprints range from saved version; this is a temporary bug fix. With this the first iteration of the training neural network will *not* give identical results to the saved version if the fingerprints_range has changed.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file networks/db0/3-3/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-06-27T16:00:34  2.880e+01    7.667e-01
    1        2016-06-27T16:00:34  1.423e+05    5.389e+01
    2        2016-06-27T16:00:34  4.160e+03    9.214e+00
    3        2016-06-27T16:00:34  7.408e+02    3.888e+00
    4        2016-06-27T16:00:34  3.309e+02    2.599e+00
    5        2016-06-27T16:00:34  1.310e+02    1.635e+00
    6        2016-06-27T16:00:34  1.927e+01    6.272e-01
    7        2016-06-27T16:00:34  8.872e+00    4.255e-01
    8        2016-06-27T16:00:34  1.016e+00    1.440e-01
    9        2016-06-27T16:00:34  8.155e+01    1.290e+00
   10        2016-06-27T16:00:34  1.356e+00    1.663e-01
   11        2016-06-27T16:00:34  8.436e-01    1.312e-01
   12        2016-06-27T16:00:34  6.427e-01    1.145e-01
   13        2016-06-27T16:00:34  3.848e-01    8.862e-02
   14        2016-06-27T16:00:34  8.415e-01    1.310e-01
   15        2016-06-27T16:00:34  3.044e-01    7.882e-02
   16        2016-06-27T16:00:35  1.940e-01    6.292e-02
   17        2016-06-27T16:00:35  1.272e-01    5.094e-02
   18        2016-06-27T16:00:35  8.933e-02    4.270e-02
   19        2016-06-27T16:00:35  8.900e-02    4.262e-02
   20        2016-06-27T16:00:35  8.834e-02    4.246e-02
   21        2016-06-27T16:00:35  8.577e-02    4.184e-02
   22        2016-06-27T16:00:35  7.673e-02    3.957e-02
   23        2016-06-27T16:00:35  5.590e-02    3.378e-02
   24        2016-06-27T16:00:35  5.662e-02    3.399e-02
   25        2016-06-27T16:00:35  4.215e-02    2.933e-02
   26        2016-06-27T16:00:35  5.115e-02    3.231e-02
   27        2016-06-27T16:00:35  3.650e-02    2.729e-02
   28        2016-06-27T16:00:35  3.464e-02    2.659e-02
   29        2016-06-27T16:00:35  3.146e-02    2.534e-02
   30        2016-06-27T16:00:35  2.783e-02    2.383e-02
   31        2016-06-27T16:00:35  2.791e-02    2.387e-02
   32        2016-06-27T16:00:35  2.660e-02    2.330e-02
   33        2016-06-27T16:00:35  2.507e-02    2.262e-02
   34        2016-06-27T16:00:35  2.270e-02    2.152e-02
   35        2016-06-27T16:00:35  1.945e-02    1.992e-02
   36        2016-06-27T16:00:35  1.924e-02    1.982e-02
   37        2016-06-27T16:00:36  1.765e-02    1.898e-02
   38        2016-06-27T16:00:36  1.519e-02    1.761e-02
   39        2016-06-27T16:00:36  2.282e-02    2.158e-02
   40        2016-06-27T16:00:36  1.436e-02    1.712e-02
   41        2016-06-27T16:00:36  1.316e-02    1.639e-02
   42        2016-06-27T16:00:36  1.147e-02    1.530e-02
   43        2016-06-27T16:00:36  1.329e-02    1.647e-02
   44        2016-06-27T16:00:36  1.061e-02    1.471e-02
   45        2016-06-27T16:00:36  9.239e-03    1.373e-02
   46        2016-06-27T16:00:36  7.561e-03    1.242e-02
