Amp training started. 2015-12-05T21:00:09

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 135 images.
Hashing images...
 135 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: Pd
Symmetry functions for each element:
 Pd: 8
Hidden-layer structure:
 Pd: [2, 2]
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 No saved neighborlist file found.
 Calculating 135 of 135 neighborlists.
 ...neighborlists calculated and saved to ./networks/db1/2-2-ex/neighborlists.db. 0.0 min.
Calculating atomic fingerprints...
No saved fingerprint file found.
  Processor 0 calculations stored in file /tmp/fp-MmSLaS.json.
 Calculated 135 new images. 0.1 min.
 Reading calculated child-fingerprints...
 ...child-fingerprints read. 0.0 min.
 Saving fingerprints...
 ...fingerprints saved to ./networks/db1/2-2-ex/fingerprints.db. 0.0 min.
Calculating derivatives of atomic fingerprints with respect to coordinates...
Either no saved fingerprint-derivatives file found or it cannot be read.
  Processor 0 calculations stored in file /tmp/fp-__wShy.json.
 Calculated 135 new images. 3.4 min.
 Reading child-fingerprint-derivatives...
 ...child-fingerprint-derivatives are read. 0.0 min.
 ...fingerprint derivatives calculated and saved to ./networks/db1/2-2-ex/fingerprint-derivatives.db. 0.0 min.
 ...all fingerprint operations complete. 3.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file ./networks/db1/2-2-ex/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-12-05T21:03:44  3.070e+02  1.507e+00  3.071e-01
    1  2015-12-05T21:03:45  6.750e+06  2.236e+02  3.097e-01
    2  2015-12-05T21:03:45  6.404e+03  6.887e+00  3.097e-01
    3  2015-12-05T21:03:46  8.595e+02  2.522e+00  3.097e-01
    4  2015-12-05T21:03:46  3.248e+02  1.550e+00  3.057e-01
    5  2015-12-05T21:03:47  2.122e+02  1.252e+00  3.035e-01
    6  2015-12-05T21:03:47  3.938e+02  1.706e+00  3.497e-01
    7  2015-12-05T21:03:48  1.802e+02  1.154e+00  3.145e-01
    8  2015-12-05T21:03:48  1.569e+02  1.076e+00  3.288e-01
    9  2015-12-05T21:03:49  1.120e+02  9.088e-01  3.086e-01
   10  2015-12-05T21:03:49  1.695e+02  1.119e+00  3.077e-01
   11  2015-12-05T21:03:50  9.316e+01  8.284e-01  3.054e-01
   12  2015-12-05T21:03:50  6.279e+01  6.792e-01  3.070e-01
   13  2015-12-05T21:03:51  2.431e+02  1.340e+00  3.098e-01
   14  2015-12-05T21:03:51  5.933e+01  6.601e-01  3.076e-01
   15  2015-12-05T21:03:51  6.031e+01  6.656e-01  3.079e-01
   16  2015-12-05T21:03:52  5.749e+01  6.497e-01  3.077e-01
   17  2015-12-05T21:03:52  5.479e+01  6.341e-01  3.082e-01
   18  2015-12-05T21:03:53  5.082e+01  6.104e-01  3.092e-01
   19  2015-12-05T21:03:53  9.655e+01  8.434e-01  3.097e-01
   20  2015-12-05T21:03:54  5.033e+01  6.075e-01  3.093e-01
   21  2015-12-05T21:03:54  4.946e+01  6.021e-01  3.094e-01
   22  2015-12-05T21:03:55  5.052e+01  6.086e-01  3.077e-01
   23  2015-12-05T21:03:55  4.887e+01  5.985e-01  3.091e-01
   24  2015-12-05T21:03:56  4.842e+01  5.957e-01  3.082e-01
   25  2015-12-05T21:03:56  4.805e+01  5.935e-01  3.067e-01
   26  2015-12-05T21:03:57  4.702e+01  5.871e-01  3.016e-01
   27  2015-12-05T21:03:57  5.251e+01  6.207e-01  3.022e-01
   28  2015-12-05T21:03:58  4.577e+01  5.793e-01  2.952e-01
   29  2015-12-05T21:03:58  4.563e+01  5.784e-01  2.937e-01
   30  2015-12-05T21:03:59  6.781e+01  7.060e-01  3.112e-01
   31  2015-12-05T21:03:59  4.541e+01  5.770e-01  2.912e-01
   32  2015-12-05T21:04:00  4.497e+01  5.742e-01  2.889e-01
   33  2015-12-05T21:04:00  4.348e+01  5.648e-01  2.788e-01
   34  2015-12-05T21:04:01  4.100e+01  5.487e-01  2.553e-01
   35  2015-12-05T21:04:01  3.768e+01  5.258e-01  2.555e-01
   36  2015-12-05T21:04:02  3.485e+01  5.046e-01  2.971e-01
   37  2015-12-05T21:04:02  3.502e+01  5.065e-01  2.696e-01
   38  2015-12-05T21:04:03  3.361e+01  4.957e-01  2.856e-01
   39  2015-12-05T21:04:03  3.728e+01  5.215e-01  3.248e-01
   40  2015-12-05T21:04:04  3.161e+01  4.801e-01  3.000e-01
   41  2015-12-05T21:04:04  2.825e+01  4.534e-01  3.052e-01
   42  2015-12-05T21:04:05  2.205e+01  3.989e-01  3.256e-01
   43  2015-12-05T21:04:05  1.190e+01  2.782e-01  5.171e-01
   44  2015-12-05T21:04:06  1.359e+01  3.061e-01  4.177e-01
   45  2015-12-05T21:04:06  7.953e+00  2.191e-01  5.223e-01
   46  2015-12-05T21:04:07  1.137e+01  2.779e-01  4.165e-01
   47  2015-12-05T21:04:07  6.647e+00  2.005e-01  4.749e-01
   48  2015-12-05T21:04:08  4.973e+00  1.697e-01  4.486e-01
   49  2015-12-05T21:04:08  4.656e+00  1.634e-01  4.415e-01
   50  2015-12-05T21:04:09  3.982e+00  1.468e-01  4.454e-01
   51  2015-12-05T21:04:09  3.462e+00  1.392e-01  3.955e-01
   52  2015-12-05T21:04:10  2.650e+00  1.165e-01  3.890e-01
   53  2015-12-05T21:04:10  1.699e+00  8.733e-02  3.522e-01
   54  2015-12-05T21:04:11  1.506e+00  8.074e-02  3.405e-01
   55  2015-12-05T21:04:11  1.231e+00  6.880e-02  3.312e-01
   56  2015-12-05T21:04:12  1.086e+00  6.306e-02  3.189e-01
   57  2015-12-05T21:04:12  1.019e+00  6.099e-02  3.095e-01
   58  2015-12-05T21:04:13  9.510e-01  5.836e-02  3.016e-01
   59  2015-12-05T21:04:13  8.969e-01  5.616e-02  2.954e-01
   60  2015-12-05T21:04:14  8.187e-01  5.235e-02  2.883e-01
   61  2015-12-05T21:04:14  7.209e-01  4.541e-02  2.863e-01
   62  2015-12-05T21:04:15  6.433e-01  3.710e-02  2.911e-01
   63  2015-12-05T21:04:15  6.592e-01  4.045e-02  2.849e-01
   64  2015-12-05T21:04:16  6.166e-01  3.525e-02  2.883e-01
   65  2015-12-05T21:04:16  5.860e-01  3.226e-02  2.872e-01
   66  2015-12-05T21:04:16  5.702e-01  3.097e-02  2.857e-01
   67  2015-12-05T21:04:17  5.557e-01  3.027e-02  2.828e-01
   68  2015-12-05T21:04:17  5.447e-01  2.927e-02  2.819e-01
   69  2015-12-05T21:04:18  5.286e-01  2.801e-02  2.798e-01
   70  2015-12-05T21:04:18  5.179e-01  2.714e-02  2.784e-01
   71  2015-12-05T21:04:19  5.126e-01  2.652e-02  2.781e-01
   72  2015-12-05T21:04:19  5.060e-01  2.661e-02  2.757e-01
   73  2015-12-05T21:04:20  4.961e-01  2.598e-02  2.739e-01
   74  2015-12-05T21:04:20  4.829e-01  2.673e-02  2.675e-01
   75  2015-12-05T21:04:21  4.625e-01  2.617e-02  2.618e-01
   76  2015-12-05T21:04:21  4.456e-01  2.536e-02  2.578e-01
   77  2015-12-05T21:04:22  4.558e-01  3.017e-02  2.483e-01
   78  2015-12-05T21:04:22  4.401e-01  2.603e-02  2.541e-01
   79  2015-12-05T21:04:23  4.354e-01  2.725e-02  2.491e-01
   80  2015-12-05T21:04:23  4.284e-01  2.687e-02  2.476e-01
   81  2015-12-05T21:04:24  4.191e-01  2.808e-02  2.406e-01
   82  2015-12-05T21:04:24  4.097e-01  2.933e-02  2.332e-01
   83  2015-12-05T21:04:25  4.051e-01  3.245e-02  2.207e-01
   84  2015-12-05T21:04:25  4.029e-01  3.027e-02  2.274e-01
   85  2015-12-05T21:04:26  3.932e-01  3.126e-02  2.200e-01
   86  2015-12-05T21:04:26  3.841e-01  3.165e-02  2.147e-01
   87  2015-12-05T21:04:27  3.761e-01  3.335e-02  2.046e-01
   88  2015-12-05T21:04:27  3.627e-01  3.291e-02  2.002e-01
   89  2015-12-05T21:04:28  3.413e-01  3.300e-02  1.897e-01
   90  2015-12-05T21:04:28  3.160e-01  3.196e-02  1.816e-01
   91  2015-12-05T21:04:29  3.052e-01  3.044e-02  1.826e-01
   92  2015-12-05T21:04:29  2.978e-01  2.989e-02  1.811e-01
   93  2015-12-05T21:04:30  2.908e-01  2.914e-02  1.806e-01
   94  2015-12-05T21:04:30  2.875e-01  2.848e-02  1.815e-01
   95  2015-12-05T21:04:31  2.825e-01  2.780e-02  1.817e-01
   96  2015-12-05T21:04:31  2.772e-01  2.706e-02  1.818e-01
   97  2015-12-05T21:04:32  2.729e-01  2.626e-02  1.825e-01
   98  2015-12-05T21:04:32  2.699e-01  2.563e-02  1.832e-01
   99  2015-12-05T21:04:33  2.673e-01  2.528e-02  1.831e-01
Saving checkpoint data.
  100  2015-12-05T21:04:33  2.636e-01  2.486e-02  1.827e-01
  101  2015-12-05T21:04:34  2.605e-01  2.471e-02  1.816e-01
  102  2015-12-05T21:04:34  2.569e-01  2.438e-02  1.809e-01
  103  2015-12-05T21:04:35  2.547e-01  2.425e-02  1.802e-01
  104  2015-12-05T21:04:35  2.510e-01  2.401e-02  1.791e-01
  105  2015-12-05T21:04:36  2.457e-01  2.357e-02  1.778e-01
  106  2015-12-05T21:04:36  2.418e-01  2.356e-02  1.758e-01
  107  2015-12-05T21:04:37  2.413e-01  2.389e-02  1.744e-01
  108  2015-12-05T21:04:37  2.395e-01  2.341e-02  1.751e-01
  109  2015-12-05T21:04:37  2.396e-01  2.332e-02  1.754e-01
  110  2015-12-05T21:04:38  2.384e-01  2.320e-02  1.752e-01
  111  2015-12-05T21:04:38  2.374e-01  2.305e-02  1.751e-01
  112  2015-12-05T21:04:39  2.356e-01  2.278e-02  1.751e-01
  113  2015-12-05T21:04:39  2.327e-01  2.226e-02  1.753e-01
  114  2015-12-05T21:04:40  2.291e-01  2.157e-02  1.755e-01
  115  2015-12-05T21:04:40  2.259e-01  2.090e-02  1.758e-01
  116  2015-12-05T21:04:41  2.218e-01  2.029e-02  1.754e-01
  117  2015-12-05T21:04:41  2.159e-01  1.900e-02  1.759e-01
  118  2015-12-05T21:04:42  2.102e-01  1.787e-02  1.759e-01
  119  2015-12-05T21:04:42  2.089e-01  1.744e-02  1.763e-01
  120  2015-12-05T21:04:43  2.073e-01  1.729e-02  1.758e-01
  121  2015-12-05T21:04:43  2.072e-01  1.736e-02  1.756e-01
  122  2015-12-05T21:04:44  2.066e-01  1.719e-02  1.757e-01
  123  2015-12-05T21:04:44  2.060e-01  1.704e-02  1.758e-01
  124  2015-12-05T21:04:45  2.050e-01  1.689e-02  1.756e-01
  125  2015-12-05T21:04:45  2.032e-01  1.662e-02  1.753e-01
  126  2015-12-05T21:04:46  2.004e-01  1.614e-02  1.749e-01
  127  2015-12-05T21:04:46  1.976e-01  1.586e-02  1.741e-01
  128  2015-12-05T21:04:47  1.965e-01  1.576e-02  1.737e-01
  129  2015-12-05T21:04:47  1.950e-01  1.579e-02  1.728e-01
