Amp training started. 2015-12-02T11:02:01

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 135 images.
Hashing images...
 135 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: Pd
Symmetry functions for each element:
 Pd: 8
Hidden-layer structure:
 Pd: [2, 3]
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 No saved neighborlist file found.
 Calculating 135 of 135 neighborlists.
 ...neighborlists calculated and saved to ./neighborlists.db. 0.1 min.
Calculating atomic fingerprints...
No saved fingerprint file found.
  Processor 0 calculations stored in file /tmp/fp-CfLzs8.json.
 Calculated 135 new images. 0.2 min.
 Reading calculated child-fingerprints...
 ...child-fingerprints read. 0.0 min.
 Saving fingerprints...
 ...fingerprints saved to ./fingerprints.db. 0.0 min.
Calculating derivatives of atomic fingerprints with respect to coordinates...
Either no saved fingerprint-derivatives file found or it cannot be read.
  Processor 0 calculations stored in file /tmp/fp-V1_BZE.json.
 Calculated 135 new images. 8.9 min.
 Reading child-fingerprint-derivatives...
 ...child-fingerprint-derivatives are read. 0.0 min.
 ...fingerprint derivatives calculated and saved to ./fingerprint-derivatives.db. 0.1 min.
 ...all fingerprint operations complete. 9.3 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file ./initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-12-02T11:11:30  3.313e+02  1.565e+00  3.116e-01
    1  2015-12-02T11:11:32  8.141e+06  2.456e+02  3.097e-01
    2  2015-12-02T11:11:33  8.031e+03  7.713e+00  3.097e-01
    3  2015-12-02T11:11:35  9.852e+02  2.701e+00  3.097e-01
    4  2015-12-02T11:11:37  3.491e+02  1.607e+00  3.049e-01
    5  2015-12-02T11:11:38  2.078e+02  1.239e+00  3.008e-01
    6  2015-12-02T11:11:40  1.774e+02  1.145e+00  3.128e-01
    7  2015-12-02T11:11:43  1.436e+02  1.029e+00  3.070e-01
    8  2015-12-02T11:11:45  4.144e+02  1.751e+00  3.094e-01
    9  2015-12-02T11:11:47  1.370e+02  1.006e+00  3.019e-01
   10  2015-12-02T11:11:49  1.218e+02  9.478e-01  2.993e-01
   11  2015-12-02T11:11:51  4.015e+02  1.724e+00  2.484e-01
   12  2015-12-02T11:11:53  1.165e+02  9.269e-01  2.977e-01
   13  2015-12-02T11:11:55  2.297e+02  1.303e+00  2.652e-01
   14  2015-12-02T11:11:57  1.121e+02  9.095e-01  2.954e-01
   15  2015-12-02T11:11:59  1.112e+02  9.057e-01  2.952e-01
   16  2015-12-02T11:12:01  1.094e+02  8.981e-01  2.951e-01
   17  2015-12-02T11:12:03  1.038e+02  8.748e-01  2.951e-01
   18  2015-12-02T11:12:05  9.700e+01  8.456e-01  2.921e-01
   19  2015-12-02T11:12:07  8.053e+01  7.701e-01  2.952e-01
   20  2015-12-02T11:12:08  9.683e+01  8.449e-01  2.931e-01
   21  2015-12-02T11:12:10  6.376e+01  6.846e-01  2.994e-01
   22  2015-12-02T11:12:12  1.706e+01  3.519e-01  2.506e-01
   23  2015-12-02T11:12:14  7.203e+02  2.308e+00  4.580e-01
   24  2015-12-02T11:12:16  1.265e+01  3.024e-01  2.345e-01
   25  2015-12-02T11:12:18  1.819e+01  3.646e-01  2.101e-01
   26  2015-12-02T11:12:20  1.102e+01  2.821e-01  2.263e-01
   27  2015-12-02T11:12:22  1.047e+01  2.759e-01  1.876e-01
   28  2015-12-02T11:12:23  9.925e+00  2.678e-01  2.116e-01
   29  2015-12-02T11:12:25  8.523e+00  2.485e-01  1.862e-01
   30  2015-12-02T11:12:27  7.260e+00  2.289e-01  1.869e-01
   31  2015-12-02T11:12:29  7.499e+00  2.324e-01  1.958e-01
   32  2015-12-02T11:12:31  6.436e+00  2.150e-01  1.911e-01
   33  2015-12-02T11:12:33  5.031e+00  1.889e-01  2.002e-01
   34  2015-12-02T11:12:35  4.846e+00  1.855e-01  1.931e-01
   35  2015-12-02T11:12:37  4.267e+00  1.733e-01  1.981e-01
   36  2015-12-02T11:12:39  3.087e+00  1.461e-01  1.950e-01
   37  2015-12-02T11:12:41  2.149e+00  1.210e-01  1.791e-01
   38  2015-12-02T11:12:43  1.711e+00  1.093e-01  1.339e-01
   39  2015-12-02T11:12:45  9.485e-01  7.977e-02  1.287e-01
   40  2015-12-02T11:12:47  6.384e+00  2.160e-01  1.262e-01
   41  2015-12-02T11:12:49  7.193e-01  6.842e-02  1.272e-01
   42  2015-12-02T11:12:51  5.299e-01  5.738e-02  1.257e-01
   43  2015-12-02T11:12:53  4.429e-01  5.158e-02  1.245e-01
   44  2015-12-02T11:12:55  3.506e-01  4.419e-02  1.269e-01
   45  2015-12-02T11:12:57  3.142e-01  4.082e-02  1.285e-01
   46  2015-12-02T11:12:59  2.852e-01  3.648e-02  1.398e-01
   47  2015-12-02T11:13:01  2.683e-01  3.436e-02  1.420e-01
   48  2015-12-02T11:13:03  2.643e-01  3.384e-02  1.425e-01
   49  2015-12-02T11:13:05  2.618e-01  3.345e-02  1.432e-01
   50  2015-12-02T11:13:06  2.596e-01  3.332e-02  1.426e-01
   51  2015-12-02T11:13:08  2.570e-01  3.299e-02  1.428e-01
   52  2015-12-02T11:13:10  2.520e-01  3.252e-02  1.422e-01
   53  2015-12-02T11:13:12  2.427e-01  3.178e-02  1.403e-01
   54  2015-12-02T11:13:14  2.299e-01  3.124e-02  1.348e-01
   55  2015-12-02T11:13:16  2.162e-01  3.092e-02  1.270e-01
   56  2015-12-02T11:13:18  2.099e-01  3.060e-02  1.243e-01
   57  2015-12-02T11:13:20  1.999e-01  3.019e-02  1.193e-01
   58  2015-12-02T11:13:22  1.952e-01  3.050e-02  1.136e-01
   59  2015-12-02T11:13:24  1.883e-01  2.951e-02  1.144e-01
   60  2015-12-02T11:13:26  1.798e-01  2.891e-02  1.113e-01
   61  2015-12-02T11:13:27  1.753e-01  2.854e-02  1.100e-01
   62  2015-12-02T11:13:29  1.673e-01  2.776e-02  1.083e-01
   63  2015-12-02T11:13:32  1.600e-01  2.710e-02  1.061e-01
   64  2015-12-02T11:13:34  1.557e-01  2.654e-02  1.060e-01
   65  2015-12-02T11:13:35  1.508e-01  2.585e-02  1.059e-01
   66  2015-12-02T11:13:37  1.442e-01  2.472e-02  1.069e-01
   67  2015-12-02T11:13:39  1.402e-01  2.389e-02  1.081e-01
   68  2015-12-02T11:13:41  1.390e-01  2.334e-02  1.101e-01
   69  2015-12-02T11:13:43  1.376e-01  2.319e-02  1.097e-01
   70  2015-12-02T11:13:45  1.371e-01  2.313e-02  1.096e-01
   71  2015-12-02T11:13:47  1.368e-01  2.305e-02  1.098e-01
   72  2015-12-02T11:13:49  1.363e-01  2.294e-02  1.099e-01
   73  2015-12-02T11:13:51  1.354e-01  2.275e-02  1.101e-01
   74  2015-12-02T11:13:53  1.341e-01  2.249e-02  1.104e-01
   75  2015-12-02T11:13:55  1.330e-01  2.227e-02  1.106e-01
   76  2015-12-02T11:13:57  1.320e-01  2.210e-02  1.106e-01
   77  2015-12-02T11:13:59  1.303e-01  2.187e-02  1.103e-01
   78  2015-12-02T11:14:01  1.273e-01  2.151e-02  1.096e-01
   79  2015-12-02T11:14:03  1.227e-01  2.090e-02  1.086e-01
   80  2015-12-02T11:14:05  1.201e-01  2.042e-02  1.088e-01
   81  2015-12-02T11:14:07  1.180e-01  2.005e-02  1.087e-01
   82  2015-12-02T11:14:09  1.173e-01  2.012e-02  1.077e-01
   83  2015-12-02T11:14:11  1.161e-01  1.996e-02  1.074e-01
   84  2015-12-02T11:14:12  1.148e-01  1.989e-02  1.067e-01
   85  2015-12-02T11:14:14  1.142e-01  1.986e-02  1.062e-01
   86  2015-12-02T11:14:16  1.131e-01  1.977e-02  1.057e-01
   87  2015-12-02T11:14:18  1.115e-01  1.958e-02  1.052e-01
   88  2015-12-02T11:14:20  1.098e-01  1.935e-02  1.047e-01
   89  2015-12-02T11:14:22  1.085e-01  1.913e-02  1.046e-01
   90  2015-12-02T11:14:24  1.088e-01  1.925e-02  1.044e-01
   91  2015-12-02T11:14:26  1.076e-01  1.899e-02  1.044e-01
   92  2015-12-02T11:14:28  1.063e-01  1.874e-02  1.045e-01
   93  2015-12-02T11:14:30  1.047e-01  1.834e-02  1.048e-01
   94  2015-12-02T11:14:32  1.032e-01  1.802e-02  1.048e-01
   95  2015-12-02T11:14:34  1.032e-01  1.794e-02  1.051e-01
