Amp training started. 2015-11-18T12:44:05

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 8 cores.

Training on 90 images.
Hashing images...
 90 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: Pd
Symmetry functions for each element:
 Pd: 8
Hidden-layer structure:
 Pd: [2, 2]
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 No saved neighborlist file found.
 Calculating 90 of 90 neighborlists.
 ...neighborlists calculated and saved to ./networks/l2n2i0/neighborlists.db. 0.0 min.
Calculating atomic fingerprints...
No saved fingerprint file found.
  Processor 0 calculations stored in file /tmp/fp-tMhJf3.json.
  Processor 1 calculations stored in file /tmp/fp-EKjagT.json.
  Processor 2 calculations stored in file /tmp/fp-eDaGgF.json.
  Processor 3 calculations stored in file /tmp/fp-SPl9G0.json.
  Processor 4 calculations stored in file /tmp/fp-exJph7.json.
  Processor 5 calculations stored in file /tmp/fp-K3tkrh.json.
  Processor 6 calculations stored in file /tmp/fp-e9l2G5.json.
  Processor 7 calculations stored in file /tmp/fp-KhleWd.json.
 Calculated 90 new images. 0.0 min.
 Reading calculated child-fingerprints...
 ...child-fingerprints read. 0.0 min.
 Saving fingerprints...
 ...fingerprints saved to ./networks/l2n2i0/fingerprints.db. 0.0 min.
Calculating derivatives of atomic fingerprints with respect to coordinates...
Either no saved fingerprint-derivatives file found or it cannot be read.
  Processor 0 calculations stored in file /tmp/fp-hFvSN3.json.
  Processor 1 calculations stored in file /tmp/fp-hcQKnk.json.
  Processor 2 calculations stored in file /tmp/fp-GEnn0M.json.
  Processor 3 calculations stored in file /tmp/fp-_3ku5u.json.
  Processor 4 calculations stored in file /tmp/fp-OuvpXL.json.
  Processor 5 calculations stored in file /tmp/fp-yS0fZj.json.
  Processor 6 calculations stored in file /tmp/fp-TLg2Y1.json.
  Processor 7 calculations stored in file /tmp/fp-_0pjFA.json.
 Calculated 90 new images. 0.0 min.
 Reading child-fingerprint-derivatives...
 ...child-fingerprint-derivatives are read. 0.0 min.
 ...fingerprint derivatives calculated and saved to ./networks/l2n2i0/fingerprint-derivatives.db. 0.0 min.
 ...all fingerprint operations complete. 0.0 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file ./networks/l2n2i0/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-11-18T12:44:07  1.712e+02  1.379e+00  0.000e+00
Force convergence!
    1  2015-11-18T12:44:07  3.125e+05  5.892e+01  0.000e+00
    2  2015-11-18T12:44:07  1.022e+03  3.370e+00  0.000e+00
    3  2015-11-18T12:44:07  1.976e+02  1.482e+00  0.000e+00
    4  2015-11-18T12:44:07  1.579e+02  1.325e+00  0.000e+00
    5  2015-11-18T12:44:07  1.386e+02  1.241e+00  0.000e+00
    6  2015-11-18T12:44:07  1.227e+02  1.167e+00  0.000e+00
    7  2015-11-18T12:44:07  8.780e+01  9.877e-01  0.000e+00
    8  2015-11-18T12:44:07  5.330e+01  7.695e-01  0.000e+00
    9  2015-11-18T12:44:07  2.066e+02  1.515e+00  0.000e+00
   10  2015-11-18T12:44:07  4.629e+01  7.172e-01  0.000e+00
   11  2015-11-18T12:44:07  4.572e+01  7.127e-01  0.000e+00
   12  2015-11-18T12:44:07  4.512e+01  7.081e-01  0.000e+00
   13  2015-11-18T12:44:07  4.432e+01  7.017e-01  0.000e+00
   14  2015-11-18T12:44:07  4.266e+01  6.885e-01  0.000e+00
   15  2015-11-18T12:44:07  5.034e+01  7.479e-01  0.000e+00
   16  2015-11-18T12:44:08  4.157e+01  6.796e-01  0.000e+00
   17  2015-11-18T12:44:08  5.245e+01  7.634e-01  0.000e+00
   18  2015-11-18T12:44:08  4.084e+01  6.736e-01  0.000e+00
   19  2015-11-18T12:44:08  3.885e+01  6.570e-01  0.000e+00
   20  2015-11-18T12:44:08  1.561e+02  1.317e+00  0.000e+00
   21  2015-11-18T12:44:08  3.357e+01  6.107e-01  0.000e+00
   22  2015-11-18T12:44:08  2.752e+01  5.529e-01  0.000e+00
   23  2015-11-18T12:44:08  2.726e+01  5.504e-01  0.000e+00
   24  2015-11-18T12:44:08  2.268e+02  1.588e+00  0.000e+00
   25  2015-11-18T12:44:08  2.841e+01  5.618e-01  0.000e+00
   26  2015-11-18T12:44:08  2.724e+01  5.501e-01  0.000e+00
   27  2015-11-18T12:44:08  2.718e+01  5.495e-01  0.000e+00
   28  2015-11-18T12:44:08  2.695e+01  5.473e-01  0.000e+00
   29  2015-11-18T12:44:08  2.617e+01  5.392e-01  0.000e+00
   30  2015-11-18T12:44:08  2.437e+01  5.203e-01  0.000e+00
   31  2015-11-18T12:44:08  2.154e+01  4.892e-01  0.000e+00
   32  2015-11-18T12:44:08  1.727e+01  4.380e-01  0.000e+00
