Amp training started. 2015-11-18T12:45:23

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 8 cores.

Training on 90 images.
Hashing images...
 90 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: Pd
Symmetry functions for each element:
 Pd: 8
Hidden-layer structure:
 Pd: [2, 2]
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 No saved neighborlist file found.
 Calculating 90 of 90 neighborlists.
 ...neighborlists calculated and saved to ./networks/l2n3i0/neighborlists.db. 0.0 min.
Calculating atomic fingerprints...
No saved fingerprint file found.
  Processor 0 calculations stored in file /tmp/fp-QKiLff.json.
  Processor 1 calculations stored in file /tmp/fp-8u2NlX.json.
  Processor 2 calculations stored in file /tmp/fp-JvPHbM.json.
  Processor 3 calculations stored in file /tmp/fp-YPcWNb.json.
  Processor 4 calculations stored in file /tmp/fp-TrtgJK.json.
  Processor 5 calculations stored in file /tmp/fp-Xwr30r.json.
  Processor 6 calculations stored in file /tmp/fp-6wFVL5.json.
  Processor 7 calculations stored in file /tmp/fp-gBwBnJ.json.
 Calculated 90 new images. 0.0 min.
 Reading calculated child-fingerprints...
 ...child-fingerprints read. 0.0 min.
 Saving fingerprints...
 ...fingerprints saved to ./networks/l2n3i0/fingerprints.db. 0.0 min.
Calculating derivatives of atomic fingerprints with respect to coordinates...
Either no saved fingerprint-derivatives file found or it cannot be read.
  Processor 0 calculations stored in file /tmp/fp-PpE3UM.json.
  Processor 1 calculations stored in file /tmp/fp-4DeFlv.json.
  Processor 2 calculations stored in file /tmp/fp-dqSN6K.json.
  Processor 3 calculations stored in file /tmp/fp-cC8Oie.json.
  Processor 4 calculations stored in file /tmp/fp-drbWJG.json.
  Processor 5 calculations stored in file /tmp/fp-2enGPE.json.
  Processor 6 calculations stored in file /tmp/fp-CSEB0I.json.
  Processor 7 calculations stored in file /tmp/fp-Ih8axf.json.
 Calculated 90 new images. 0.0 min.
 Reading child-fingerprint-derivatives...
 ...child-fingerprint-derivatives are read. 0.0 min.
 ...fingerprint derivatives calculated and saved to ./networks/l2n3i0/fingerprint-derivatives.db. 0.0 min.
 ...all fingerprint operations complete. 0.0 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file ./networks/l2n3i0/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-11-18T12:45:25  1.810e+02  1.418e+00  0.000e+00
Force convergence!
    1  2015-11-18T12:45:25  5.582e+05  7.875e+01  0.000e+00
    2  2015-11-18T12:45:25  1.338e+03  3.856e+00  0.000e+00
    3  2015-11-18T12:45:25  2.447e+02  1.649e+00  0.000e+00
    4  2015-11-18T12:45:25  1.592e+02  1.330e+00  0.000e+00
    5  2015-11-18T12:45:25  1.520e+02  1.300e+00  0.000e+00
    6  2015-11-18T12:45:25  1.409e+02  1.251e+00  0.000e+00
    7  2015-11-18T12:45:25  1.220e+02  1.164e+00  0.000e+00
    8  2015-11-18T12:45:25  8.225e+01  9.560e-01  0.000e+00
    9  2015-11-18T12:45:25  2.275e+02  1.590e+00  0.000e+00
   10  2015-11-18T12:45:25  7.360e+01  9.043e-01  0.000e+00
   11  2015-11-18T12:45:25  5.655e+01  7.927e-01  0.000e+00
   12  2015-11-18T12:45:25  4.482e+01  7.057e-01  0.000e+00
   13  2015-11-18T12:45:25  1.465e+02  1.276e+00  0.000e+00
   14  2015-11-18T12:45:25  4.372e+01  6.970e-01  0.000e+00
   15  2015-11-18T12:45:25  4.179e+01  6.814e-01  0.000e+00
   16  2015-11-18T12:45:25  4.144e+01  6.786e-01  0.000e+00
   17  2015-11-18T12:45:25  4.048e+01  6.707e-01  0.000e+00
   18  2015-11-18T12:45:25  4.158e+01  6.797e-01  0.000e+00
   19  2015-11-18T12:45:25  3.955e+01  6.629e-01  0.000e+00
   20  2015-11-18T12:45:25  3.920e+01  6.600e-01  0.000e+00
   21  2015-11-18T12:45:26  3.890e+01  6.575e-01  0.000e+00
   22  2015-11-18T12:45:26  4.134e+01  6.778e-01  0.000e+00
   23  2015-11-18T12:45:26  3.857e+01  6.546e-01  0.000e+00
   24  2015-11-18T12:45:26  4.539e+01  7.102e-01  0.000e+00
   25  2015-11-18T12:45:26  3.851e+01  6.542e-01  0.000e+00
   26  2015-11-18T12:45:26  3.875e+01  6.561e-01  0.000e+00
   27  2015-11-18T12:45:26  3.851e+01  6.541e-01  0.000e+00
   28  2015-11-18T12:45:26  3.849e+01  6.540e-01  0.000e+00
   29  2015-11-18T12:45:26  3.848e+01  6.538e-01  0.000e+00
   30  2015-11-18T12:45:26  3.846e+01  6.537e-01  0.000e+00
   31  2015-11-18T12:45:26  3.846e+01  6.537e-01  0.000e+00
   32  2015-11-18T12:45:26  3.845e+01  6.536e-01  0.000e+00
   33  2015-11-18T12:45:26  3.844e+01  6.536e-01  0.000e+00
   34  2015-11-18T12:45:26  3.844e+01  6.535e-01  0.000e+00
   35  2015-11-18T12:45:26  3.842e+01  6.534e-01  0.000e+00
   36  2015-11-18T12:45:26  3.842e+01  6.534e-01  0.000e+00
   37  2015-11-18T12:45:26  3.842e+01  6.534e-01  0.000e+00
   38  2015-11-18T12:45:26  3.841e+01  6.533e-01  0.000e+00
   39  2015-11-18T12:45:26  3.840e+01  6.532e-01  0.000e+00
   40  2015-11-18T12:45:26  3.840e+01  6.532e-01  0.000e+00
   41  2015-11-18T12:45:26  3.839e+01  6.531e-01  0.000e+00
   42  2015-11-18T12:45:26  3.839e+01  6.531e-01  0.000e+00
   43  2015-11-18T12:45:26  3.839e+01  6.531e-01  0.000e+00
   44  2015-11-18T12:45:26  3.838e+01  6.531e-01  0.000e+00
   45  2015-11-18T12:45:26  3.838e+01  6.530e-01  0.000e+00
   46  2015-11-18T12:45:26  3.837e+01  6.530e-01  0.000e+00
   47  2015-11-18T12:45:26  3.836e+01  6.529e-01  0.000e+00
   48  2015-11-18T12:45:26  3.835e+01  6.528e-01  0.000e+00
   49  2015-11-18T12:45:26  3.834e+01  6.527e-01  0.000e+00
   50  2015-11-18T12:45:26  3.834e+01  6.527e-01  0.000e+00
   51  2015-11-18T12:45:26  3.833e+01  6.526e-01  0.000e+00
   52  2015-11-18T12:45:26  3.833e+01  6.526e-01  0.000e+00
   53  2015-11-18T12:45:26  3.831e+01  6.524e-01  0.000e+00
   54  2015-11-18T12:45:26  3.824e+01  6.519e-01  0.000e+00
   55  2015-11-18T12:45:26  3.497e+01  6.233e-01  0.000e+00
   56  2015-11-18T12:45:26  3.824e+01  6.518e-01  0.000e+00
   57  2015-11-18T12:45:26  3.623e+01  6.345e-01  0.000e+00
   58  2015-11-18T12:45:27  3.486e+01  6.224e-01  0.000e+00
   59  2015-11-18T12:45:27  3.479e+01  6.217e-01  0.000e+00
   60  2015-11-18T12:45:27  2.492e+02  1.664e+00  0.000e+00
