Amp training started. 2015-11-18T12:46:14

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 8 cores.

Training on 90 images.
Hashing images...
 90 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: Pd
Symmetry functions for each element:
 Pd: 8
Hidden-layer structure:
 Pd: [2, 2]
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 No saved neighborlist file found.
 Calculating 90 of 90 neighborlists.
 ...neighborlists calculated and saved to ./networks/l2n4i0/neighborlists.db. 0.0 min.
Calculating atomic fingerprints...
No saved fingerprint file found.
  Processor 0 calculations stored in file /tmp/fp-1yyJV7.json.
  Processor 1 calculations stored in file /tmp/fp-aX3wx3.json.
  Processor 2 calculations stored in file /tmp/fp-FO4gcm.json.
  Processor 3 calculations stored in file /tmp/fp-ASp24Z.json.
  Processor 4 calculations stored in file /tmp/fp-5jlhOG.json.
  Processor 5 calculations stored in file /tmp/fp-FnW7mL.json.
  Processor 6 calculations stored in file /tmp/fp-jUP0jt.json.
  Processor 7 calculations stored in file /tmp/fp-24J2KD.json.
 Calculated 90 new images. 0.0 min.
 Reading calculated child-fingerprints...
 ...child-fingerprints read. 0.0 min.
 Saving fingerprints...
 ...fingerprints saved to ./networks/l2n4i0/fingerprints.db. 0.0 min.
Calculating derivatives of atomic fingerprints with respect to coordinates...
Either no saved fingerprint-derivatives file found or it cannot be read.
  Processor 0 calculations stored in file /tmp/fp-hA2CC6.json.
  Processor 1 calculations stored in file /tmp/fp-feC_tx.json.
  Processor 2 calculations stored in file /tmp/fp-Xw4yqt.json.
  Processor 3 calculations stored in file /tmp/fp-GWECnM.json.
  Processor 4 calculations stored in file /tmp/fp-mQAgXy.json.
  Processor 5 calculations stored in file /tmp/fp-1BSMyM.json.
  Processor 6 calculations stored in file /tmp/fp-Lk0OkD.json.
  Processor 7 calculations stored in file /tmp/fp-zJ0dS5.json.
 Calculated 90 new images. 0.0 min.
 Reading child-fingerprint-derivatives...
 ...child-fingerprint-derivatives are read. 0.0 min.
 ...fingerprint derivatives calculated and saved to ./networks/l2n4i0/fingerprint-derivatives.db. 0.0 min.
 ...all fingerprint operations complete. 0.0 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file ./networks/l2n4i0/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-11-18T12:46:15  1.679e+02  1.366e+00  0.000e+00
Force convergence!
    1  2015-11-18T12:46:15  5.013e+05  7.463e+01  0.000e+00
    2  2015-11-18T12:46:15  1.016e+03  3.360e+00  0.000e+00
    3  2015-11-18T12:46:15  1.757e+02  1.397e+00  0.000e+00
    4  2015-11-18T12:46:15  1.523e+02  1.301e+00  0.000e+00
    5  2015-11-18T12:46:15  1.230e+02  1.169e+00  0.000e+00
    6  2015-11-18T12:46:15  1.447e+02  1.268e+00  0.000e+00
    7  2015-11-18T12:46:15  1.112e+02  1.111e+00  0.000e+00
    8  2015-11-18T12:46:15  9.162e+01  1.009e+00  0.000e+00
    9  2015-11-18T12:46:15  7.205e+01  8.947e-01  0.000e+00
   10  2015-11-18T12:46:16  7.025e+01  8.835e-01  0.000e+00
   11  2015-11-18T12:46:16  6.699e+01  8.627e-01  0.000e+00
   12  2015-11-18T12:46:16  5.939e+01  8.123e-01  0.000e+00
   13  2015-11-18T12:46:16  3.288e+01  6.044e-01  0.000e+00
   14  2015-11-18T12:46:16  9.312e+02  3.217e+00  0.000e+00
   15  2015-11-18T12:46:16  3.171e+01  5.935e-01  0.000e+00
   16  2015-11-18T12:46:16  2.984e+01  5.758e-01  0.000e+00
   17  2015-11-18T12:46:16  2.754e+01  5.532e-01  0.000e+00
   18  2015-11-18T12:46:16  2.289e+01  5.043e-01  0.000e+00
   19  2015-11-18T12:46:16  5.785e+02  2.535e+00  0.000e+00
   20  2015-11-18T12:46:16  1.960e+01  4.667e-01  0.000e+00
   21  2015-11-18T12:46:16  2.034e+01  4.754e-01  0.000e+00
   22  2015-11-18T12:46:16  1.855e+01  4.540e-01  0.000e+00
   23  2015-11-18T12:46:16  8.246e+02  3.027e+00  0.000e+00
   24  2015-11-18T12:46:16  1.824e+01  4.501e-01  0.000e+00
   25  2015-11-18T12:46:16  1.761e+01  4.424e-01  0.000e+00
   26  2015-11-18T12:46:16  1.608e+01  4.227e-01  0.000e+00
   27  2015-11-18T12:46:16  1.627e+01  4.251e-01  0.000e+00
   28  2015-11-18T12:46:16  1.386e+01  3.924e-01  0.000e+00
   29  2015-11-18T12:46:16  3.158e+01  5.923e-01  0.000e+00
   30  2015-11-18T12:46:16  1.334e+01  3.850e-01  0.000e+00
   31  2015-11-18T12:46:16  1.247e+01  3.722e-01  0.000e+00
   32  2015-11-18T12:46:16  1.118e+01  3.525e-01  0.000e+00
   33  2015-11-18T12:46:16  9.022e+00  3.166e-01  0.000e+00
   34  2015-11-18T12:46:16  6.219e+00  2.629e-01  0.000e+00
   35  2015-11-18T12:46:16  5.412e+00  2.452e-01  0.000e+00
   36  2015-11-18T12:46:16  4.107e+00  2.136e-01  0.000e+00
   37  2015-11-18T12:46:16  3.526e+00  1.979e-01  0.000e+00
   38  2015-11-18T12:46:16  2.593e+00  1.698e-01  0.000e+00
   39  2015-11-18T12:46:16  2.662e+00  1.720e-01  0.000e+00
   40  2015-11-18T12:46:16  2.028e+00  1.501e-01  0.000e+00
   41  2015-11-18T12:46:16  1.285e+00  1.195e-01  0.000e+00
   42  2015-11-18T12:46:16  1.555e+00  1.314e-01  0.000e+00
   43  2015-11-18T12:46:16  9.421e-01  1.023e-01  0.000e+00
   44  2015-11-18T12:46:16  6.753e-01  8.662e-02  0.000e+00
   45  2015-11-18T12:46:16  4.888e-01  7.369e-02  0.000e+00
   46  2015-11-18T12:46:17  4.005e-01  6.671e-02  0.000e+00
   47  2015-11-18T12:46:17  2.811e-01  5.589e-02  0.000e+00
   48  2015-11-18T12:46:17  1.711e-01  4.361e-02  0.000e+00
   49  2015-11-18T12:46:17  1.498e-01  4.080e-02  0.000e+00
   50  2015-11-18T12:46:17  1.157e-01  3.585e-02  0.000e+00
   51  2015-11-18T12:46:17  8.386e-02  3.052e-02  0.000e+00
   52  2015-11-18T12:46:17  7.442e-02  2.875e-02  0.000e+00
   53  2015-11-18T12:46:17  6.085e-02  2.600e-02  0.000e+00
   54  2015-11-18T12:46:17  4.984e-02  2.353e-02  0.000e+00
   55  2015-11-18T12:46:17  3.754e-02  2.042e-02  0.000e+00
   56  2015-11-18T12:46:17  2.874e-02  1.787e-02  0.000e+00
   57  2015-11-18T12:46:17  2.328e-02  1.608e-02  0.000e+00
   58  2015-11-18T12:46:17  2.315e-02  1.604e-02  0.000e+00
   59  2015-11-18T12:46:17  2.291e-02  1.596e-02  0.000e+00
   60  2015-11-18T12:46:17  2.249e-02  1.581e-02  0.000e+00
   61  2015-11-18T12:46:17  2.188e-02  1.559e-02  0.000e+00
   62  2015-11-18T12:46:17  2.162e-02  1.550e-02  0.000e+00
   63  2015-11-18T12:46:17  2.140e-02  1.542e-02  0.000e+00
   64  2015-11-18T12:46:17  2.101e-02  1.528e-02  0.000e+00
   65  2015-11-18T12:46:17  2.032e-02  1.503e-02  0.000e+00
   66  2015-11-18T12:46:17  1.920e-02  1.461e-02  0.000e+00
   67  2015-11-18T12:46:17  1.790e-02  1.410e-02  0.000e+00
   68  2015-11-18T12:46:17  1.705e-02  1.377e-02  0.000e+00
   69  2015-11-18T12:46:17  1.598e-02  1.332e-02  0.000e+00
   70  2015-11-18T12:46:17  1.559e-02  1.316e-02  0.000e+00
   71  2015-11-18T12:46:17  1.522e-02  1.300e-02  0.000e+00
   72  2015-11-18T12:46:17  1.508e-02  1.294e-02  0.000e+00
   73  2015-11-18T12:46:17  1.499e-02  1.290e-02  0.000e+00
   74  2015-11-18T12:46:17  1.489e-02  1.286e-02  0.000e+00
   75  2015-11-18T12:46:17  1.471e-02  1.278e-02  0.000e+00
   76  2015-11-18T12:46:17  1.438e-02  1.264e-02  0.000e+00
   77  2015-11-18T12:46:17  1.379e-02  1.238e-02  0.000e+00
   78  2015-11-18T12:46:17  1.283e-02  1.194e-02  0.000e+00
   79  2015-11-18T12:46:17  1.163e-02  1.137e-02  0.000e+00
   80  2015-11-18T12:46:17  1.056e-02  1.083e-02  0.000e+00
   81  2015-11-18T12:46:17  8.969e-03  9.983e-03  0.000e+00
   82  2015-11-18T12:46:17  7.494e-03  9.125e-03  0.000e+00
   83  2015-11-18T12:46:18  7.957e-03  9.403e-03  0.000e+00
   84  2015-11-18T12:46:18  6.972e-03  8.801e-03  0.000e+00
   85  2015-11-18T12:46:18  6.583e-03  8.552e-03  0.000e+00
   86  2015-11-18T12:46:18  6.003e-03  8.167e-03  0.000e+00
   87  2015-11-18T12:46:18  5.535e-03  7.842e-03  0.000e+00
   88  2015-11-18T12:46:18  5.072e-03  7.507e-03  0.000e+00
   89  2015-11-18T12:46:18  5.042e-03  7.485e-03  0.000e+00
   90  2015-11-18T12:46:18  4.809e-03  7.310e-03  0.000e+00
   91  2015-11-18T12:46:18  4.605e-03  7.153e-03  0.000e+00
   92  2015-11-18T12:46:18  4.323e-03  6.930e-03  0.000e+00
   93  2015-11-18T12:46:18  4.059e-03  6.716e-03  0.000e+00
   94  2015-11-18T12:46:18  3.777e-03  6.478e-03  0.000e+00
   95  2015-11-18T12:46:18  3.632e-03  6.353e-03  0.000e+00
   96  2015-11-18T12:46:18  3.571e-03  6.299e-03  0.000e+00
   97  2015-11-18T12:46:18  3.343e-03  6.095e-03  0.000e+00
   98  2015-11-18T12:46:18  3.516e-03  6.250e-03  0.000e+00
   99  2015-11-18T12:46:18  3.196e-03  5.959e-03  0.000e+00
Saving checkpoint data.
  100  2015-11-18T12:46:18  3.119e-03  5.886e-03  0.000e+00
  101  2015-11-18T12:46:18  3.003e-03  5.777e-03  0.000e+00
  102  2015-11-18T12:46:18  2.900e-03  5.676e-03  0.000e+00
  103  2015-11-18T12:46:18  2.760e-03  5.538e-03  0.000e+00
  104  2015-11-18T12:46:18  2.737e-03  5.515e-03  0.000e+00
  105  2015-11-18T12:46:18  2.686e-03  5.463e-03  0.000e+00
  106  2015-11-18T12:46:18  2.582e-03  5.357e-03  0.000e+00
  107  2015-11-18T12:46:18  2.492e-03  5.262e-03  0.000e+00
  108  2015-11-18T12:46:18  2.465e-03  5.233e-03  0.000e+00
  109  2015-11-18T12:46:18  2.432e-03  5.198e-03  0.000e+00
  110  2015-11-18T12:46:18  2.359e-03  5.119e-03  0.000e+00
  111  2015-11-18T12:46:18  2.346e-03  5.106e-03  0.000e+00
  112  2015-11-18T12:46:18  2.314e-03  5.071e-03  0.000e+00
  113  2015-11-18T12:46:18  2.260e-03  5.011e-03  0.000e+00
  114  2015-11-18T12:46:18  2.192e-03  4.935e-03  0.000e+00
